OID_ZCTA5_20|GEOID_ZCTA5_20|NAMELSAD_ZCTA5_20|AREALAND_ZCTA5_20|AREAWATER_ZCTA5_20|MTFCC_ZCTA5_20|CLASSFP_ZCTA5_20|FUNCSTAT_ZCTA5_20|OID_PLACE_20|GEOID_PLACE_20|NAMELSAD_PLACE_20|AREALAND_PLACE_20|AREAWATER_PLACE_20|MTFCC_PLACE_20|CLASSFP_PLACE_20|FUNCSTAT_PLACE_20|AREALAND_PART|AREAWATER_PART
221704258328374|28610|ZCTA5 28610|103365701|2095235|G6350|B5|S|27890202935893|3714340|Conover city|28932776|79576|G4110|C1|A|42713|0
221704258328380|28611|ZCTA5 28611|187246460|0|G6350|B5|S|||||||||187246460|0
221704258328391|28612|ZCTA5 28612|207220173|2056905|G6350|B5|S|||||||||178936795|2032011
221704258328391|28612|ZCTA5 28612|207220173|2056905|G6350|B5|S|27890303214812|3714280|Connelly Springs town|12925097|0|G4110|C1|A|12925097|0
221704258328391|28612|ZCTA5 28612|207220173|2056905|G6350|B5|S|27890303214816|3731500|Hildebran town|7325053|0|G4110|C1|A|675721|0
221704258328391|28612|ZCTA5 28612|207220173|2056905|G6350|B5|S|28090303214817|3733320|Icard CDP|9909477|24894|G4210|U1|S|8134765|24894
221704258328391|28612|ZCTA5 28612|207220173|2056905|G6350|B5|S|27890303214819|3756240|Rhodhiss town|3076227|185754|G4110|C1|A|60500|0
221704258328391|28612|ZCTA5 28612|207220173|2056905|G6350|B5|S|27890303214820|3758440|Rutherford College town|5950284|0|G4110|C1|A|4431979|0
221704258328391|28612|ZCTA5 28612|207220173|2056905|G6350|B5|S|27890303214823|3769520|Valdese town|20356370|34393|G4110|C1|A|2055316|0
221704258328420|28613|ZCTA5 28613|109707869|1806699|G6350|B5|S|||||||||74203853|1707920
221704258328420|28613|ZCTA5 28613|109707869|1806699|G6350|B5|S|27890202935892|3712720|Claremont city|7378133|2452|G4110|C1|A|120801|0
221704258328420|28613|ZCTA5 28613|109707869|1806699|G6350|B5|S|27890202935893|3714340|Conover city|28932776|79576|G4110|C1|A|28019219|78153
221704258328420|28613|ZCTA5 28613|109707869|1806699|G6350|B5|S|27890202935894|3731060|Hickory city|79593389|257093|G4110|C1|A|1145108|3689
221704258328420|28613|ZCTA5 28613|109707869|1806699|G6350|B5|S|27890202935899|3747000|Newton city|35730331|139564|G4110|C1|A|1078876|1061
221704258328420|28613|ZCTA5 28613|109707869|1806699|G6350|B5|S|28090202935900|3758730|St. Stephens CDP|24122105|913947|G4210|U1|S|5140012|15876
221704258328425|28615|ZCTA5 28615|182243483|600142|G6350|B5|S|||||||||182243483|600142
221704258328429|28616|ZCTA5 28616|1369539|0|G6350|B5|S|||||||||209961|0
221704258328429|28616|ZCTA5 28616|1369539|0|G6350|B5|S|27890426704847|3715580|Crossnore town|1159578|0|G4110|C1|A|1159578|0
221704258328437|28617|ZCTA5 28617|91043478|1106655|G6350|B5|S|||||||||91043478|1106655
221704258328443|28618|ZCTA5 28618|97262747|27928|G6350|B5|S|||||||||97262747|27928
